File Name,Classification
test1.jpg,1
test2.jpg,0
test2_1.jpg,0
test3.jpg,1
test3_1.jpg,1
test4.jpg,0
test4_1.jpg,0
test5.jpg,0
test5_1.jpg,0
test6.jpg,1
test7.jpg,1
test7_1.jpg,1
test8.jpg,2
test8_1.jpg,2
test9.jpg,1
test9_1.jpg,1
test10.jpg,2
test10_1.jpg,2
test11.jpg,0
test11_1.jpg,0
test12.jpg,0
non1_1b.jpg,2
non1b.jpg,2
non2b.jpg,2
tied2b.jpg,1
tied3b.jpg,1
tied4_1b.jpg,1
tied4b.jpg,1
tied5b.jpg,1
tied6_1b.jpg,1
tied6b.jpg,1
tied7b.jpg,1
tied8_1b.jpg,1
tied8b.jpg,1
tied9b.jpg,1
untied5b.jpg,0
untied6_1b.jpg,0
untied6b.jpg,0
untied7_1b.jpg,0
untied7b.jpg,0
untied8_1b.jpg,0
untied8b.jpg,0
untied9b.jpg,0
untied10_1b.jpg,0
untied10b.jpg,0
